model,horizon_minutes,split,rows,mae,rmse,r2,mean_error_prediction_minus_actual
current_availability_persistence,30,validation,496952,2.035387723562839,3.5229159899709943,0.8654133986664212,-0.008483716737230154
current_availability_persistence,30,test,617847,2.1537921200556123,3.62639908674506,0.8524067638841372,-0.001058514486596196
current_availability_persistence,60,validation,486374,2.946849543766731,4.85623119397832,0.7442777415380427,-0.024452376154975388
current_availability_persistence,60,test,607245,3.1401230145987205,5.0640326695996105,0.7120343374206037,0.00010210047015619725
