date,rows,average_actual,average_prediction,mae,rmse,bias_actual_minus_prediction,p90_absolute_error,underprediction_rate,overprediction_rate
2023-12-01,2400,4.174166666666666,3.6979491055088274,1.674049011900541,2.825543680188846,0.4762175611578391,4.078331067904251,0.40958333333333335,0.5904166666666667
2023-12-02,2400,3.8875,3.5694950888270918,1.547523927962972,2.47706404232309,0.31800491117290863,3.910468342818602,0.4033333333333333,0.5966666666666667
2023-12-03,2400,3.32,2.8409566242625015,1.4594849895813256,2.533629964822762,0.4790433757374986,3.771055348203128,0.42375,0.57625
2023-12-04,2400,1.2033333333333334,2.1159779384810045,1.2949465027679041,2.0640832031767897,-0.9126446051476711,2.9412821158949707,0.15541666666666668,0.8445833333333334
2023-12-05,2400,4.175833333333333,3.879421037821015,1.6441532032538473,2.784635262040578,0.2964122955123179,4.133572272684032,0.38333333333333336,0.6166666666666667
2023-12-06,2400,2.8454166666666665,3.439091874209928,1.5694920483269181,2.4968944461886333,-0.5936752075432609,3.7577594166844275,0.2520833333333333,0.7479166666666667
2023-12-07,2400,4.732916666666667,4.173201812287438,1.7181252093736066,2.960246592726134,0.5597148543792292,4.050021831504708,0.41375,0.58625
2023-12-08,2400,5.167083333333333,5.127957608731405,1.676033004403544,2.667783373927129,0.03912572460192814,4.007498377286254,0.3641666666666667,0.6358333333333334
2023-12-09,2400,4.320833333333334,4.366855983705329,1.6476024014323554,2.556331002241071,-0.04602265037199485,4.149166501749022,0.36333333333333334,0.6366666666666667
2023-12-10,2400,3.7716666666666665,3.846672193080376,1.5480161905345102,2.405564959523933,-0.07500552641370917,3.7795388418398645,0.34041666666666665,0.6595833333333333
2023-12-11,2400,4.715,4.6634661389671175,1.8187527662208376,3.1015277010647595,0.05153386103288267,4.564891084088081,0.3645833333333333,0.6354166666666666
2023-12-12,2400,4.56375,4.831412245003531,1.6205050867644957,2.541504104151007,-0.2676622450035309,3.9363416028137523,0.3275,0.6725
2023-12-13,2400,4.787083333333333,4.688999878382213,1.6040196818883101,2.638399612739097,0.09808345495112031,3.9160251346884882,0.37583333333333335,0.6241666666666666
2023-12-14,2400,4.9,5.15700344854726,1.6079454232644976,2.548199716042073,-0.2570034485472602,3.904655053190203,0.32125,0.67875
2023-12-15,2400,5.242916666666667,5.391010978728529,1.7277517851141189,2.68977952404764,-0.1480943120618627,4.24301630121186,0.3516666666666667,0.6483333333333333
2023-12-16,2400,3.595833333333333,3.580279798811163,1.4434523907491246,2.2191896491520557,0.015553534522170823,3.486845165702519,0.35125,0.64875
2023-12-17,2400,2.714583333333333,2.97843370177992,1.2989874852353849,1.9763551031061228,-0.26385036844658666,3.0388036037126893,0.3075,0.6925
2023-12-18,2400,4.601666666666667,4.471172309386674,1.6909107081577388,2.7472116924613994,0.1304943572799931,4.34016965844446,0.3695833333333333,0.6304166666666666
2023-12-19,2400,4.59875,4.751805688140465,1.6296429474086171,2.6005368061373604,-0.1530556881404642,3.9569977633268754,0.3275,0.6725
2023-12-20,2400,4.195833333333334,4.33360583419666,1.5217653288479405,2.3626566037267884,-0.13777250086332565,3.824864911161081,0.3275,0.6725
2023-12-21,2400,3.6670833333333333,3.7182583023885445,1.5024416507324825,2.512901629236635,-0.05117496905521071,3.7024653380630594,0.3154166666666667,0.6845833333333333
2023-12-22,2400,4.66125,4.510556861043173,1.592380395147834,2.6038082739373407,0.15069313895682734,3.8504607044964483,0.37125,0.62875
2023-12-23,2400,2.9870833333333335,3.358016073803668,1.4613438091298847,2.305473713852552,-0.37093274047033464,3.4429253009492577,0.28791666666666665,0.7120833333333333
2023-12-24,2400,3.026666666666667,2.916200235429992,1.366691673916061,2.2198126961152984,0.11046643123667475,3.3367529502967965,0.34958333333333336,0.6504166666666666
2023-12-25,2400,4.425833333333333,4.664876353133673,1.6504009855241164,2.618559718982121,-0.23904301980033962,4.134159559911144,0.32958333333333334,0.6704166666666667
2023-12-26,2400,4.7179166666666665,4.919569061998518,1.607204633698323,2.579488107410851,-0.20165239533185142,4.014773992504971,0.32958333333333334,0.6704166666666667
2023-12-27,2400,4.42625,4.937514508252698,1.6607549371012988,2.639042008512019,-0.5112645082526985,4.075134539813339,0.2995833333333333,0.7004166666666667
2023-12-28,2400,3.8420833333333335,4.139160011208757,1.6543330978098163,2.6741031512178224,-0.2970766778754237,3.9635108294459185,0.30875,0.69125
2023-12-29,2400,4.407916666666667,4.288663439436114,1.6463937297978406,2.7511759367927975,0.11925322723055297,4.041260155497952,0.38125,0.61875
2023-12-30,2400,3.42125,3.7112248799940546,1.5094532529567077,2.3554285075916956,-0.28997487999405414,3.7131229690443024,0.305,0.695
2023-12-31,2282,3.2042068361086766,3.2970469941241527,1.4145886925113051,2.1751024345581227,-0.092840158015476,3.416947695497663,0.3418054338299737,0.6581945661700263
