include_weather,candidate,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,mae,rmse,r2
False,compact,0.08,150,31,50,1.0,1.6454021608415628,2.6982366784378797,0.784478697853495
False,deeper,0.05,200,63,40,1.0,1.6385172389726008,2.6759357040748046,0.7880265503081332
True,compact,0.08,150,31,50,1.0,1.633617913013688,2.6763625499016395,0.7879589199845662
True,deeper,0.05,200,63,40,1.0,1.617915564179544,2.6428204422744686,0.7932405186669254
