snapshot_time,station_records,active_stations,total_capacity,available_bikes,return_spaces,unavailable_docks,empty_stations,full_stations,valid_change_intervals,net_bike_change
2026-08-20 19:41:52+08:00,1790,1761,50703,21546,27820,1337,24,20,0,0.0
2026-08-20 19:56:52+08:00,1790,1761,50703,21345,28032,1326,23,21,1761,-201.0
