cohort,period,horizon_minutes,rows,mae,rmse,r2,mean_error_prediction_minus_actual
all_stations,week_1,30,3542893,1.7035273151066093,3.0855861004706777,0.9072021527435591,0.007484561345770251
all_stations,week_1,60,3532261,2.543694534463903,4.337473490719943,0.8165703120536056,0.013258080306070247
all_stations,week_2,30,3536538,1.0297200256295846,2.5158991377890736,0.9246523021035932,-0.010430539697297188
all_stations,week_2,60,3515293,1.5642704605277569,3.544466405080881,0.8503922573628313,-0.022090619473255857
week_1_common_stations,week_1,30,3542893,1.7035273151066093,3.0855861004706777,0.9072021527435591,0.007484561345770251
week_1_common_stations,week_1,60,3532261,2.543694534463903,4.337473490719943,0.8165703120536056,0.013258080306070247
week_1_common_stations,week_2,30,3536126,1.0298179420077225,2.5160179371947993,0.9246525034868969,-0.010419877572235831
week_1_common_stations,week_2,60,3514893,1.5644188884270447,3.54464689274633,0.8503911722551655,-0.022084029300465192
