model,split,candidate,rows,mae,rmse,r2
hist_gradient_boosting,validation,deeper,146400,1.6385172389726008,2.6759357040748046,0.7880265503081332
hist_gradient_boosting,test,deeper,74282,1.6013851416108138,2.5671412860532015,0.7912247588752103
hist_gradient_boosting_weather,validation,deeper,146400,1.617915564179544,2.6428204422744686,0.7932405186669254
hist_gradient_boosting_weather,test,deeper,74282,1.5747426189106093,2.5487425907864982,0.7942066182333527
