period,rows,active_rows,snapshots,stations,first_snapshot,latest_snapshot,expected_snapshots,snapshot_coverage_percent
week_1,3617525,3553525,2016,1798,2026-08-21 09:45:02+00:00,2026-08-28 09:40:23+00:00,2016,100.0
week_2,3623394,3559550,2015,1800,2026-08-28 09:45:23+00:00,2026-09-04 09:40:21+00:00,2016,99.95039682539682
