cohort,horizon_minutes,week_1_mae,week_2_mae,week_2_minus_week_1_mae,week_2_change_percent_mae,week_1_rmse,week_2_rmse,week_2_minus_week_1_rmse,week_2_change_percent_rmse,week_1_r2,week_2_r2,week_2_minus_week_1_r2
all_stations,30,1.7035273151066093,1.0297200256295846,-0.6738072894770246,-39.55365338153423,3.0855861004706777,2.5158991377890736,-0.5696869626816041,-18.46284446882567,0.9072021527435591,0.9246523021035932,0.017450149360034084
all_stations,60,2.543694534463903,1.5642704605277569,-0.979424073936146,-38.5039972632785,4.337473490719943,3.544466405080881,-0.7930070856390619,-18.28269584438283,0.8165703120536056,0.8503922573628313,0.033821945309225665
week_1_common_stations,30,1.7035273151066093,1.0298179420077225,-0.6737093730988868,-39.54790552077088,3.0855861004706777,2.5160179371947993,-0.5695681632758784,-18.458994328143884,0.9072021527435591,0.9246525034868969,0.017450350743337784
week_1_common_stations,60,2.543694534463903,1.5644188884270447,-0.9792756460368581,-38.49816213263381,4.337473490719943,3.54464689274633,-0.7928265979736131,-18.278534720036248,0.8165703120536056,0.8503911722551655,0.03382086020155983
