station_name,rows,average_actual,average_prediction,mae,rmse,bias_actual_minus_prediction,p90_absolute_error,underprediction_rate,overprediction_rate,training_average_demand,station_demand_tier
捷運公館站(2號出口),744,20.987903225806452,20.2236497583545,5.294064922342477,7.5257868600249385,0.764253467451953,13.198085040589772,0.42876344086021506,0.571236559139785,22.664283392915177,high
捷運公館站(3號出口),744,11.005376344086022,10.70032072839756,3.5717658207356573,5.345670913896896,0.3050556156884594,8.644624343329781,0.40725806451612906,0.592741935483871,12.741854636591478,high
捷運芝山站(2號出口)_1,744,11.327956989247312,11.514196373759473,3.205612053897768,5.03912115550242,-0.1862393845121612,7.924075124224733,0.37231182795698925,0.6276881720430108,16.220394736842106,high
捷運劍潭站(2號出口),742,9.74932614555256,9.890177780168445,3.205351540344286,5.191322824688231,-0.14085163461588382,7.859277854986051,0.34097035040431267,0.6590296495956873,14.43530701754386,high
捷運科技大樓站,744,11.994623655913978,11.680569788559776,3.063462178644142,4.586274622965611,0.3140538673542039,7.143255320120904,0.3978494623655914,0.6021505376344086,14.8125,high
捷運龍山寺站(1號出口),744,9.754032258064516,9.690116067258757,2.85614731057761,4.201076656865082,0.06391619080575946,6.846450614504337,0.3736559139784946,0.6263440860215054,11.412750626566416,high
捷運中山國中站,744,9.239247311827956,9.265572519453242,2.7440844804050117,4.397975246675045,-0.02632520762528535,6.825401305502417,0.3172043010752688,0.6827956989247311,12.545739348370928,high
捷運臺北101/世貿站(2號出口),737,7.436906377204885,7.273274491130191,2.633402820123123,3.8402683598757177,0.16363188607469262,6.175839155927272,0.38263229308005425,0.6173677069199457,8.922112521548346,high
捷運圓山站(1號出口),743,7.664872139973082,7.654114943830979,2.407550463895754,3.5688917191267877,0.010757196142103997,5.905010803142417,0.35935397039030953,0.6406460296096904,9.711779448621554,high
捷運芝山站(1號出口),744,6.782258064516129,7.013170372385086,2.3728155469312235,3.4999538392269702,-0.23091230786895622,5.55631823252637,0.32123655913978494,0.678763440860215,10.547462406015038,high
捷運北投站(1號出口),744,6.170698924731183,6.235549328801707,2.1968506766295794,3.14300509922727,-0.06485040407052464,5.123388714843931,0.3763440860215054,0.6236559139784946,8.304981203007518,high
捷運東門站(5號出口),744,6.576612903225806,6.521256080069991,2.1914042689029776,3.2199108875447093,0.05535682315581655,5.284862006759848,0.3588709677419355,0.6411290322580645,7.984492481203008,high
捷運永春站(2號出口),744,6.53494623655914,6.650025091202176,2.1715993906831894,3.128030532693297,-0.11507885464303631,4.974645649057544,0.364247311827957,0.635752688172043,8.727443609022556,high
捷運六張犁站,743,8.029609690444145,8.035064860700789,2.1684189951452906,3.250026853914086,-0.00545517025664453,5.3181350148785524,0.38088829071332436,0.6191117092866757,10.244047619047619,high
捷運象山站(3號出口),736,6.536684782608695,6.455214988188105,2.0807792620758696,3.077681491828934,0.08146979442059067,5.100957968890397,0.39402173913043476,0.6059782608695652,7.726845322049836,high
捷運行天宮站(3號出口),744,7.331989247311828,7.385657968795671,2.0806712831690657,3.0692366110428355,-0.053668721483843565,5.270064764810493,0.3844086021505376,0.6155913978494624,10.023652882205514,high
捷運南京三民站(1號出口),743,6.888290713324361,6.78586765950018,2.0642104070114153,3.0264128778008446,0.10242305382418082,4.996214574620092,0.36473755047106327,0.6352624495289367,8.50454260651629,high
捷運圓山站(2號出口),744,5.993279569892473,6.196269571737518,2.0629342239679738,3.024448027503778,-0.20299000184504354,5.118866092943402,0.3293010752688172,0.6706989247311828,8.265664160401002,high
捷運劍南路站(2號出口),744,6.190860215053763,6.295311954082921,2.030454247803605,3.05076644580721,-0.10445173902915761,5.019929036721709,0.34139784946236557,0.6586021505376344,9.136591478696742,high
捷運象山站(2號出口),737,5.57123473541384,5.719196837288424,1.971397716794974,3.1015318080113503,-0.14796210187458364,4.863898584246278,0.3677069199457259,0.6322930800542741,7.868986052342893,high
捷運南港展覽館站(5號出口),744,4.03494623655914,4.388612864079808,1.8918363614007,2.642817493956122,-0.3536666275206686,4.532374192533602,0.33602150537634407,0.6639784946236559,7.043076441102757,high
捷運北門站(3號出口),743,6.014804845222073,6.008137173168837,1.8648348207931755,2.756687198525855,0.006667672053235718,4.61864145740796,0.35800807537012114,0.6419919246298789,7.31312656641604,high
捷運大安森林公園站(5號出口),744,5.399193548387097,5.425413868435222,1.838565794103875,2.679160485913208,-0.02622032004812457,4.618224585806729,0.3467741935483871,0.6532258064516129,6.557800751879699,high
捷運松江南京站(7號出口),744,4.836021505376344,4.903238021113458,1.8159335339918863,2.7706022892199784,-0.06721651573711297,4.352860810084993,0.34408602150537637,0.6559139784946236,6.789160401002507,high
捷運後山埤站(2號出口),744,4.612903225806452,4.692736357972064,1.8111028467512507,2.714261724772009,-0.07983313216561123,4.441848877219784,0.34139784946236557,0.6586021505376344,5.883302005012531,high
捷運古亭站(5號出口),744,4.775537634408602,4.654120424421244,1.798392168532909,2.622315630997623,0.12141720998735868,4.263288675943761,0.38844086021505375,0.6115591397849462,5.391604010025063,medium
捷運古亭站(2號出口),744,5.356182795698925,5.330317541555192,1.7966899258153675,2.6851396892351858,0.025865254143731867,4.602379489621146,0.38844086021505375,0.6115591397849462,6.537124060150376,high
捷運大安站(4號出口),743,5.271870794078062,5.231809891413288,1.7773798816571902,2.6207583707644533,0.04006090266477418,4.273640151396124,0.38088829071332436,0.6191117092866757,6.550908521303258,high
捷運劍潭站(1號出口),744,4.133064516129032,4.160799286634981,1.7391010907926094,2.5494378172507104,-0.027734770505949257,4.070311012291393,0.34543010752688175,0.6545698924731183,4.890977443609023,medium
捷運國父紀念館站(2號出口),737,4.312075983717775,4.486418168039769,1.7186432537936769,2.442850601856269,-0.17434218432199491,4.2115448325095866,0.3582089552238806,0.6417910447761194,5.898918664786084,high
捷運石牌站(2號出口),743,4.843876177658142,5.059851256361361,1.6827888852474076,2.3941615880999207,-0.21597507870321797,4.030498080515799,0.34320323014804843,0.6567967698519516,7.518327067669173,high
捷運士林站(1號出口),744,3.877688172043011,4.0458445255198825,1.6789400356124078,2.4320017087368044,-0.16815635347687163,3.90741004015661,0.353494623655914,0.646505376344086,5.1610275689223055,medium
捷運市政府站(3號出口),744,3.7594086021505375,4.106245650577088,1.6750631960502949,2.421571000709956,-0.34683704842655044,4.236622322842863,0.32661290322580644,0.6733870967741935,5.619652092148566,high
捷運士林站(2號出口),744,4.862903225806452,4.911605003610804,1.6560396961617316,2.482041193380857,-0.0487017778043524,4.239446359153805,0.3629032258064516,0.6370967741935484,6.24577067669173,high
捷運大橋頭站(2號出口),744,4.407258064516129,4.643493533429416,1.6035294906637345,2.4103767925843367,-0.23623546891328726,4.05335486626175,0.31989247311827956,0.6801075268817204,5.5394736842105265,high
捷運信義安和站(4號出口),739,4.368064952638701,4.379331073518461,1.5984316690448797,2.3222358883201046,-0.011266120879759749,3.9090382701710804,0.36265223274695535,0.6373477672530447,5.728412474533772,high
捷運龍山寺站(1號出口)_1,742,3.142857142857143,3.1187428782852007,1.5706755024829797,2.5427771974123035,0.024114264571942393,3.8527819151027316,0.3638814016172507,0.6361185983827493,3.161810776942356,medium
捷運忠孝復興站(2號出口),744,4.434139784946237,4.589039632877545,1.5564859012195644,2.2538290519190842,-0.1548998479313077,3.951085839747383,0.35080645161290325,0.6491935483870968,5.886103712987623,high
捷運奇岩站(三合街),743,3.534320323014805,3.6888764694121803,1.5157006179377253,2.21044543024718,-0.15455614639737597,3.5967452769365984,0.3243606998654105,0.6756393001345895,5.454104010025063,medium
捷運中山國小站(4號出口),744,3.6666666666666665,3.6464414512763423,1.4950724956758747,2.2109444757808254,0.02022521539032423,3.4417986870639554,0.3588709677419355,0.6411290322580645,4.28419238602538,medium
捷運古亭站(6號出口),744,2.46505376344086,2.5639804045392416,1.4701747915039518,2.2302116953408238,-0.09892664109838147,3.4643102732836035,0.3387096774193548,0.6612903225806451,3.1384928716904277,medium
捷運大安森林公園站(2號出口),744,3.396505376344086,3.541459016616814,1.4500933083257868,2.072038376686797,-0.14495364027272767,3.6867384310008937,0.3279569892473118,0.6720430107526881,4.596334586466165,medium
捷運善導寺站(3號出口)(忠孝東路側),743,3.281292059219381,3.3177673026923045,1.4432199470370781,2.0639679101289223,-0.03647524347292375,3.514070120143362,0.38896366083445494,0.6110363391655451,3.668233082706767,medium
臺大大一女舍北側,744,2.9260752688172045,3.133655899000168,1.4430647304155644,2.139197613298906,-0.20758063018296358,3.498740090482756,0.30510752688172044,0.6948924731182796,4.388627819548872,medium
捷運關渡站(1號出口),743,3.1184387617765816,3.35611527930487,1.4426904814052521,2.067756449514179,-0.23767651752828806,3.610306960283103,0.3122476446837147,0.6877523553162853,4.9926378446115285,medium
捷運西門站(3號出口),744,3.6196236559139785,3.654247919817189,1.4399651165661447,2.1186890883657536,-0.03462426390321033,3.5120623213129947,0.37768817204301075,0.6223118279569892,4.81359649122807,medium
捷運中山站(2號出口),743,3.1063257065948857,3.3212678312445862,1.4231063066195204,2.095588286382836,-0.21494212464970072,3.610662043606412,0.3189771197846568,0.6810228802153432,5.1911027568922306,medium
信義廣場(臺北101),737,3.0081411126187247,3.0754983540293455,1.4196904731857682,2.221346840629388,-0.06735724141062092,3.5684003722829316,0.33242876526458615,0.6675712347354138,3.383228840125392,medium
捷運大安站(3號出口),744,2.838709677419355,2.9674215101443138,1.4022246894432822,2.100861957782815,-0.12871183272495854,3.5183818169660532,0.3131720430107527,0.6868279569892473,3.968515037593985,medium
