fold,train_end,validation_start,validation_end,train_rows,validation_rows,mae,rmse,r2
fold_1,2023-09-30T23:00:00+08:00,2023-10-01T00:00:00+08:00,2023-10-20T23:00:00+08:00,638098,48000,1.6730890382138508,2.786878192590089,0.7499217539178711
fold_2,2023-10-20T23:00:00+08:00,2023-10-21T00:00:00+08:00,2023-11-10T23:00:00+08:00,686098,50400,1.62369750746718,2.6089559642188522,0.8130319456842187
fold_3,2023-11-10T23:00:00+08:00,2023-11-11T00:00:00+08:00,2023-11-30T23:00:00+08:00,736498,48000,1.6443652157304072,2.6626401541891926,0.788808041478684
