period,day_type,rows,snapshots,stations,mean_available_bikes,median_available_bikes,mean_available_return_bikes,mean_capacity,mean_availability_fraction,observed_empty_percent,observed_no_return_space_percent
week_1,weekday,2538032,1440,1769,11.386648001286035,9.0,16.47188727328891,28.442677239688074,0.41281007013957305,3.352203597117767,1.8649883059000043
week_1,weekend,1015493,576,1764,12.64278040321302,10.0,15.340191414416447,28.444933643067948,0.45004736796277073,2.046887570864595,2.085883408354366
week_2,weekday,2543596,1439,1774,10.817606648225583,9.0,16.883156759170873,28.499658357695168,0.3992637680854375,3.6621774841602206,1.54800526498705
week_2,weekend,1015954,576,1767,10.580810745368392,8.0,16.956023599493676,28.500570891989206,0.40373700595540013,3.974097252434657,1.8114993395370265
