model,alpha,mae,rmse,r2
ridge_time_history,0.1,1.8322465071346443,2.976564220070593,0.7377227428865218
ridge_time_history,1.0,1.832246146887279,2.976563999487931,0.7377227817594029
ridge_time_history,10.0,1.8322420908736787,2.9765618041260584,0.7377231686438729
ridge_time_history,100.0,1.83220271281776,2.976540352332632,0.7377269490378326
ridge_time_history_weather,0.1,1.818827129826719,2.952266803769219,0.7419871561627929
ridge_time_history_weather,1.0,1.8188274604199028,2.9522674830761755,0.7419870374269526
ridge_time_history_weather,10.0,1.818831267647242,2.9522712554593857,0.7419863780528305
ridge_time_history_weather,100.0,1.8188673140326224,2.952295495846907,0.7419821410601445
