model,split,candidate,rows,mae,rmse,r2
xgboost_weather,validation,regularized,146400,1.646297172870712,2.6869995272205807,0.7862700917958654
xgboost_weather,test,regularized,74282,1.5972807443362114,2.580203033359063,0.7890948356499067
