event_time,station_name,borrow_count,prediction,signed_error,absolute_error,hour
2023-12-29 18:00:00+08:00,捷運龍山寺站(1號出口),46.0,27.64626,18.353740692138672,18.353740692138672,18
2023-12-24 21:00:00+08:00,捷運公館站(2號出口),42.0,23.79153,18.20846939086914,18.20846939086914,21
2023-12-18 19:00:00+08:00,捷運古亭站(2號出口),31.0,12.8226795,18.17732048034668,18.17732048034668,19
2023-12-07 08:00:00+08:00,捷運公館站(3號出口),2.0,20.13052,-18.13051986694336,18.13051986694336,8
2023-12-26 18:00:00+08:00,捷運芝山站(2號出口)_1,24.0,41.944996,-17.944995880126953,17.944995880126953,18
2023-12-11 11:00:00+08:00,捷運公館站(2號出口),31.0,13.07869,17.921310424804688,17.921310424804688,11
2023-12-26 18:00:00+08:00,捷運公館站(2號出口),53.0,35.164932,17.835067749023438,17.835067749023438,18
2023-12-11 18:00:00+08:00,捷運行天宮站(3號出口),32.0,14.236885,17.76311492919922,17.76311492919922,18
2023-12-07 11:00:00+08:00,捷運公館站(2號出口),34.0,16.270021,17.729978561401367,17.729978561401367,11
2023-12-01 10:00:00+08:00,捷運公館站(2號出口),8.0,25.66084,-17.660839080810547,17.660839080810547,10
2023-12-08 10:00:00+08:00,捷運公館站(2號出口),36.0,18.344887,17.655113220214844,17.655113220214844,10
2023-12-03 21:00:00+08:00,捷運公館站(2號出口),42.0,24.37271,17.627290725708008,17.627290725708008,21
2023-12-11 08:00:00+08:00,南京遼寧街口,23.0,5.4403167,17.559683322906494,17.559683322906494,8
2023-12-12 07:00:00+08:00,捷運公館站(2號出口),42.0,24.526718,17.473281860351562,17.473281860351562,7
2023-12-03 20:00:00+08:00,捷運公館站(2號出口),42.0,24.544163,17.45583724975586,17.45583724975586,20
2023-12-15 22:00:00+08:00,捷運公館站(2號出口),42.0,24.556213,17.44378662109375,17.44378662109375,22
2023-12-18 17:00:00+08:00,捷運芝山站(2號出口)_1,52.0,34.58552,17.414478302001953,17.414478302001953,17
2023-12-01 22:00:00+08:00,捷運公館站(3號出口),27.0,9.733583,17.266416549682617,17.266416549682617,22
2023-12-27 08:00:00+08:00,捷運中山國中站,50.0,32.819023,17.18097686767578,17.18097686767578,8
2023-12-14 23:00:00+08:00,捷運公館站(2號出口),28.0,10.829759,17.170241355895996,17.170241355895996,23
2023-12-15 13:00:00+08:00,捷運公館站(3號出口),40.0,22.876421,17.123579025268555,17.123579025268555,13
2023-12-11 18:00:00+08:00,捷運龍山寺站(1號出口)_1,28.0,10.901574,17.09842586517334,17.09842586517334,18
2023-12-19 08:00:00+08:00,捷運公館站(3號出口),32.0,15.057226,16.942773818969727,16.942773818969727,8
2023-12-19 07:00:00+08:00,捷運公館站(2號出口),53.0,36.066574,16.933425903320312,16.933425903320312,7
2023-12-26 19:00:00+08:00,捷運劍潭站(2號出口),40.0,23.13034,16.869659423828125,16.869659423828125,19
2023-12-05 08:00:00+08:00,捷運公館站(2號出口),35.0,18.220858,16.779142379760742,16.779142379760742,8
2023-12-14 08:00:00+08:00,捷運中山國中站,58.0,41.2327,16.76729965209961,16.76729965209961,8
