context,segment,rows,average_actual,average_prediction,mae,rmse,bias_actual_minus_prediction,p90_absolute_error,underprediction_rate,overprediction_rate
station_demand_tier,high,25254,7.009859824186267,7.041067935121993,2.255008590614156,3.5274572640802173,-0.031208110935725994,5.4684301887274165,0.36124970301734377,0.6387502969826562
station_demand_tier,low,24510,1.9012239902080783,1.9593068077319753,1.0646438827594997,1.615039253665645,-0.058082817523896865,2.551090339025538,0.3248062015503876,0.6751937984496124
station_demand_tier,medium,24518,3.031242352557305,3.142640647150017,1.3839882006734914,2.0632919706548796,-0.11139829459271167,3.3325313760134176,0.33457051961823964,0.6654294803817603
hour,0,3100,1.236451612903226,1.254336185470728,0.9840639223248764,1.426526432995439,-0.017884572567502262,2.091361549378206,0.3951612903225806,0.6048387096774194
hour,1,3100,0.056451612903225805,0.07139858098384189,0.11140464887592506,0.25300940457918186,-0.014946968080616073,0.17628557389386712,0.04967741935483871,0.9503225806451613
hour,2,3100,0.0,0.00815651180641234,0.00815651180641234,0.010211736898688276,-0.00815651180641234,0.009431883519263332,0.0,1.0
hour,3,3100,0.0,0.007349403084172285,0.007349403084172285,0.007512716723466508,-0.007349403084172285,0.009339124460655197,0.0,1.0
hour,4,3100,0.0,0.00980774258627398,0.00980774258627398,0.010075781488429204,-0.00980774258627398,0.012626600850368729,0.0,1.0
hour,5,3100,0.06419354838709677,0.08279633203173072,0.08669408066210783,0.2088194440991338,-0.018602783644633924,0.13879175533249982,0.053870967741935484,0.9461290322580646
hour,6,3100,1.742258064516129,1.8311292519208215,0.941158834639161,1.2797285445333548,-0.08887118740469246,2.027693483365632,0.38483870967741934,0.6151612903225806
hour,7,3100,5.4316129032258065,5.3792643401932585,2.0559645576862255,2.9595146966562784,0.052348563032548937,4.48401262825095,0.4535483870967742,0.5464516129032259
hour,8,3100,7.629354838709677,7.806641988175498,2.6997151236339385,4.059091770687847,-0.1772871494658208,5.80877727339225,0.42870967741935484,0.5712903225806452
hour,9,3100,4.903870967741936,5.248221941239704,2.0449033159147985,2.7988296033403364,-0.34435097349776933,4.341051101562146,0.3967741935483871,0.603225806451613
hour,10,3100,3.6461290322580644,4.0561283013644145,1.748185650385462,2.4142682949992778,-0.4099992691063504,3.5567930853547574,0.3664516129032258,0.6335483870967742
hour,11,3100,3.7761290322580647,3.985781881220105,1.7229701090280647,2.41757608394676,-0.20965284896204048,3.5114020620045547,0.3945161290322581,0.6054838709677419
hour,12,3100,4.588709677419355,4.8240976200657615,1.8569958281298569,2.574830577052592,-0.2353879426464066,3.8210549752754286,0.4029032258064516,0.5970967741935483
hour,13,3100,4.876451612903225,4.996528174207677,1.92285911993495,2.6060917527899083,-0.12007656130445107,4.132641689528711,0.43290322580645163,0.5670967741935484
hour,14,3100,4.7461290322580645,4.922641531431385,1.9104645649457193,2.573102639288444,-0.1765124991733198,4.025760759649325,0.41838709677419356,0.5816129032258065
hour,15,3100,5.137096774193548,5.168692707185406,1.9308338668654408,2.6438860448836987,-0.031595932991857714,4.111566771432511,0.45,0.55
hour,16,3099,6.779283639883833,6.613992622434652,2.2666332098527575,3.1094635927522822,0.1652910174491817,4.86684799209262,0.4766053565666344,0.5233946434333656
hour,17,3092,9.086998706338939,8.712395475753343,2.8796190346342394,3.9524577020328655,0.3746032305855969,6.190239892877457,0.49191461836998707,0.5080853816300129
hour,18,3091,10.362018764153996,10.050269335023728,3.0117519399443533,4.231961508656273,0.31174942913026654,6.611399137532022,0.49045616305402784,0.5095438369459722
hour,19,3089,6.543865328585302,6.812841808660887,2.366988149041274,3.330618860140825,-0.2689764800755848,4.941229290231581,0.42343800582712854,0.5765619941728715
hour,20,3089,4.73745548721269,4.9668914591570354,2.000062920718861,2.7459108155127083,-0.22943597194434528,4.250340084011868,0.40174813855616703,0.5982518614438329
hour,21,3088,4.981865284974093,4.813547195568407,2.0642979422579284,2.8941819535231734,0.16831808940568763,4.4680041433883,0.4566062176165803,0.5433937823834197
hour,22,3083,3.8696075251378526,3.9892139723022995,1.8524838475029668,2.582580962286905,-0.1196064471644463,4.061396018141351,0.4171261758027895,0.5828738241972105
hour,23,3051,2.084890199934448,2.265925665808554,1.3219641191522271,1.8737310428699108,-0.18103546587410607,2.8251193844939024,0.38741396263520156,0.6125860373647984
weekday,Friday,12000,4.730666666666667,4.603227598689609,1.6633215852727758,2.708669993537617,0.12743906797705695,4.061933851406545,0.3755833333333333,0.6244166666666666
weekday,Monday,9600,3.736458333333333,3.978873184992117,1.613752740667649,2.6591324071574998,-0.24241485165878374,4.01078274445917,0.3047916666666667,0.6952083333333333
weekday,Saturday,12000,3.6425,3.7171743650282605,1.5218751564462087,2.3857380267469934,-0.07467436502826083,3.7127912621650037,0.3421666666666667,0.6578333333333334
weekday,Sunday,11882,3.2074566571284295,3.1746584625078276,1.4175832528658705,2.2711956755785474,0.03279819462060175,3.4816063967057023,0.35271839757616563,0.6472816024238344
weekday,Thursday,9600,4.285520833333333,4.296905893608,1.6207113452951007,2.679640085168007,-0.011385060274666346,3.884127800729153,0.33979166666666666,0.6602083333333333
weekday,Tuesday,9600,4.5140625,4.595552008240882,1.6253764677813207,2.6282117128555935,-0.08148950824088214,4.013833430857157,0.34197916666666667,0.6580208333333334
