period,day_type,local_hour,rows,mean_available_bikes,mean_available_return_bikes,observed_empty_percent
week_1,weekday,0,105736,11.801921767420746,15.847790724067488,3.8075962775213736
week_1,weekday,1,105756,12.035042929006392,15.644625364045538,2.4102651386209764
week_1,weekday,2,105756,12.155906047883809,15.536064147660653,1.7965883732365067
week_1,weekday,3,105756,12.254482015204811,15.454933999016605,1.6623170316577784
week_1,weekday,4,105756,12.465921555278188,15.275312984606074,1.0420212564771738
week_1,weekday,5,105756,12.494241461477364,15.286782783009947,0.6543363969892961
week_1,weekday,6,105756,12.325986232459623,15.575135216914406,0.8651991376375808
week_1,weekday,7,105756,11.835129921706569,16.13248420893377,2.3790612352963425
week_1,weekday,8,105756,11.024471424789137,16.986648511668367,5.715987745376149
week_1,weekday,9,105756,10.69002231551874,17.274348500321494,7.949430765157532
week_1,weekday,10,105756,10.410662279208745,17.498751843867016,7.109762093876471
week_1,weekday,11,105749,10.361989238668924,17.528544005144255,5.345677027678749
week_1,weekday,12,105756,10.294470290101744,17.592486478308558,4.25886001739854
week_1,weekday,13,105760,10.685854765506807,17.203309379727685,3.87197428139183
week_1,weekday,14,105768,10.969064367294456,16.94202405264352,3.218364722789502
week_1,weekday,15,105768,11.02830723848423,16.907533469480374,2.9054156266545648
week_1,weekday,16,105768,11.117521367521368,16.873099614250055,2.877051660237501
week_1,weekday,17,105759,10.923543149991962,17.111460963133162,3.3689804177422253
week_1,weekday,18,105732,11.254047970340105,16.77368251806454,2.9281579843377594
week_1,weekday,19,105733,11.489374178354913,16.486697625150143,2.367283629519639
week_1,weekday,20,105744,11.45924118626116,16.484812377061584,2.555227719776063
week_1,weekday,21,105735,11.310247316404219,16.499976355984302,2.9980611907126304
week_1,weekday,22,105732,11.291151212499527,16.38116180531911,4.341164453524004
week_1,weekday,23,105732,11.601133053380245,16.02734271554496,4.024325653539137
week_1,weekend,0,42312,12.652864435621101,15.07399792021176,1.7252788806957835
week_1,weekend,1,42312,12.93930799773114,14.854249385517111,1.1344299489506522
week_1,weekend,2,42312,13.102193231234638,14.741917186613726,0.6759311779164303
week_1,weekend,3,42312,13.210578559273964,14.645986954055587,0.6688409907354887
week_1,weekend,4,42312,13.410640007562867,14.469961240310077,0.5081300813008129
week_1,weekend,5,42312,13.44308943089431,14.457837020230668,0.3568727547740594
week_1,weekend,6,42312,13.359756097560975,14.669550009453584,0.6050293061070146
week_1,weekend,7,42312,13.115995462280205,14.950628663263377,1.0824352429570807
week_1,weekend,8,42312,12.838296464359992,15.238490262809606,1.7961807525051994
week_1,weekend,9,42312,12.74508413688788,15.36171771601437,2.188504443183967
week_1,weekend,10,42312,12.38105029306107,15.736906787672527,2.7037247116657213
week_1,weekend,11,42312,12.034316505955758,16.06834940442428,3.5994516921913404
week_1,weekend,12,42312,12.0582340707128,16.036065418793722,4.069767441860465
week_1,weekend,13,42312,12.163452448477972,15.920211760257137,3.8996029495178672
week_1,weekend,14,42312,12.240593685006617,15.82517961807525,3.424560408394781
week_1,weekend,15,42312,12.720244847797316,15.352500472679145,2.3421251654377007
week_1,weekend,16,42312,12.934250330875402,15.169620911325392,1.8458120627717904
week_1,weekend,17,42312,12.62620533182076,15.482558139534884,1.6851011533371147
week_1,weekend,18,42312,12.462138400453773,15.618382491964455,1.718188693514842
week_1,weekend,19,42312,12.32288712422008,15.718897712232936,1.6874645490640952
week_1,weekend,20,42312,12.189662507090187,15.836074872376631,1.7252788806957835
week_1,weekend,21,42312,12.037034411041784,15.885398941198714,2.6470032142181887
week_1,weekend,22,42312,12.142890905653243,15.627765173000567,3.691624125543581
week_1,weekend,23,42317,12.296003970035683,15.422336176950163,3.3438098163858494
week_2,weekday,0,106054,10.727469025213571,16.751645388198465,4.536368265223377
week_2,weekday,1,106056,10.90598363128913,16.585926303085163,3.362374594553821
week_2,weekday,2,106056,11.018565663423097,16.494172889794072,2.7296899751074903
week_2,weekday,3,106056,11.132298031228785,16.397356113751226,2.4439918533604885
